Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0    (g),6:0    (g),8:0    (g),10:0    (g),12:0    (g),14:0    (g),16:0    (g),18:0    (g),16:1        (g),18:1    (g),20:1    (g),22:1    (g),18:2    (g),18:3    (g),18:4    (g),20:4    (g),20:5 n-3 (g),22:5 n-3 (g),22:6 n-3 (g),Water (g),Price
59,2.6,9.0,5.0,0.0,1.4,0.841,0.384,0.052000000000000005,5,12,12,0,3,0,0,0,0.056,0.237,0.124,0.062,0,4,4,4,15.0,0.52,0.0,0.7,0.0,0.04,0.0,0.2,96,151,16,0.0,0.81,0.016,2.9,206,100,0,0,0.0,0.045,0.027000000000000003,0.016,0.035,0.039,0.141,0.368,0.17,0.031,0.35200000000000004,0.0,0.0,0.032,0.02,0.0,0.0,0.0,0.0,0.0,86.0,1.093494
340,2.84,2.74,2.92,0.0,36.08,23.032,9.101,1.57,113,405,411,0,72,0,0,0,0.02,0.188,0.064,0.035,0,4,4,4,16.8,0.16,0.0,0.6,1.6,0.92,0.0,3.2,66,58,7,0.1,0.24,0.011,3.0,95,27,0,0,0.0,0.732,0.609,0.384,0.905,1.05,3.3310000000000004,9.298,3.572,0.6559999999999999,7.968,0.065,0.003,1.294,0.128,0.0,0.058,0.009000000000000001,0.02,0.0,57.81,0.870092
343,2.67,8.49,8.55,0.0,33.94,21.666,8.561,1.477,106,381,387,0,68,0,0,0,0.019,0.17800000000000002,0.06,0.033,0,4,4,4,15.8,0.15,0.0,0.6,1.5,0.86,0.0,3.0,62,55,7,0.1,0.23,0.011,2.9,89,26,0,0,0.0,0.6890000000000001,0.573,0.361,0.851,0.988,3.134,8.747,3.36,0.617,7.496,0.061,0.003,1.217,0.12,0.0,0.055,0.008,0.019,0.0,54.4,1.222832
136,1.0,11.38,11.38,0.0,9.97,1.937,7.551,0.027000000000000003,0,0,1,0,9,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,2.5,9,64,0,0.03,0.02,0.0,1.1,191,67,0,0,0.0,0.0,0.0,0.005,0.013,0.062,0.019,0.884,0.976,0.0,7.559,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,77.27,0.317466
529,2.48,59.29,7.77,0.0,32.92,19.146,9.796,0.408,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2.3,0.0,0.0,0.0,0.0,1.26,0.0,1.7,2,288,1,0.26,0.07,0.018000000000000002,0.0,669,124,0,0,0.0,0.006,0.094,1.118,0.879,6.7639999999999985,2.6660000000000004,3.1460000000000004,4.29,0.006,9.768,0.019,0.0,0.382,0.026,0.0,0.0,0.0,0.0,0.0,2.98,1.105252
318,1.25,23.05,23.05,0.0,25.31,21.783,1.616,0.523,0,0,7,0,86,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,6.3,6,8,2,0.12,0.03,0.03,2.1,18,25,0,0,0.0,0.0,0.0,0.638,0.905,8.836,3.756,3.092,4.58,0.241,1.375,0.0,0.0,0.305,0.218,0.0,0.0,0.0,0.0,0.0,50.21,0.9406399999999999
198,2.44,4.63,3.41,0.0,19.35,10.14,4.5939999999999985,0.8,59,121,124,0,25,1,0,4,0.02,0.168,0.093,0.041,0,6,6,6,19.2,0.21,0.0,0.9,0.0,0.38,0.0,1.5,101,76,10,0.07,0.33,0.018000000000000002,3.7,125,31,0,0,0.0,0.031,0.203,0.145,0.378,0.447,1.626,5.154,1.832,0.294,4.129,0.029,0.0,0.648,0.07400000000000001,0.0,0.025,0.006,0.011,0.001,73.07,0.564384
181,7.0,7.0,0.3,0.0,14.1,8.7,4.1,0.5,35,117,119,0,27,0,0,0,0.04,0.24,0.07,0.02,0,11,11,11,19.2,0.3,0.0,0.9,0.3,0.4,0.0,0.7,141,85,11,0.06,0.27,0.01,4.1,211,70,0,0,0.0,0.46,0.27,0.15,0.36,0.4,1.41,3.69,1.7,0.31,3.53,0.0,0.0,0.31,0.2,0.0,0.0,0.0,0.0,0.0,71.0,0.6702060000000002
136,3.5,7.1,0.22,0.0,10.6,6.6,3.1,0.4,35,88,90,0,21,0,0,0,0.04,0.12,0.07,0.02,0,11,11,11,19.2,0.42,0.0,0.9,0.2,0.3,0.0,0.5,141,71,10,0.07,0.5,0.016,3.1,212,83,0,0,0.0,0.34,0.2,0.11,0.26,0.3,1.06,2.78,1.28,0.24,2.66,0.0,0.0,0.24,0.16,0.0,0.0,0.0,0.0,0.0,78.1,0.576142
74,3.1,15.6,0.39,0.0,0.0,0.0,0.0,0.0,9,72,73,0,9,0,0,0,0.04,0.15,0.07,0.02,0,11,11,11,19.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,125,95,10,0.0,0.5,0.016,5.3,129,141,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,0.5526260000000001
